>> cd ../jacobi_poisson_1d
>> jacobi_poisson_1d
22-Nov-2011 13:09:57

JACOBI_POISSON_1D:
  Use Jacobi iteration for the 1D Poisson equation.
  Enter K >= 0, the grid index, so that NK = 2^K + 1:  5

    Step    Residual      Change
     738     0.08427   4.135e-05
     739     0.08386   4.115e-05
     740     0.08346   4.095e-05
     741     0.08306   4.075e-05
     742     0.08266   4.055e-05
     743     0.08226   4.036e-05
     744     0.08186   4.017e-05
     745     0.08147   3.997e-05
     746     0.08108   3.978e-05
     747     0.08069   3.959e-05
     748      0.0803    3.94e-05
     749     0.07991   3.921e-05
     750     0.07953   3.902e-05
     751     0.07914   3.883e-05
     752     0.07876   3.864e-05
     753     0.07838   3.846e-05
     754       0.078   3.827e-05
     755     0.07763   3.809e-05
     756     0.07726    3.79e-05
     757     0.07688   3.772e-05
     758     0.07651   3.754e-05
     759     0.07614   3.736e-05
     760     0.07578   3.718e-05
     761     0.07541     3.7e-05
     762     0.07505   3.682e-05
     763     0.07469   3.665e-05
     764     0.07433   3.647e-05
     765     0.07397   3.629e-05
     766     0.07361   3.612e-05
     767     0.07326   3.594e-05
     768     0.07291   3.577e-05
     769     0.07256    3.56e-05
     770     0.07221   3.543e-05
     771     0.07186   3.526e-05
     772     0.07151   3.509e-05
     773     0.07117   3.492e-05
     774     0.07083   3.475e-05
     775     0.07049   3.458e-05
     776     0.07015   3.442e-05
     777     0.06981   3.425e-05
     778     0.06947   3.409e-05
     779     0.06914   3.392e-05
     780      0.0688   3.376e-05
     781     0.06847    3.36e-05
     782     0.06814   3.343e-05
     783     0.06782   3.327e-05
     784     0.06749   3.311e-05
     785     0.06716   3.295e-05
     786     0.06684   3.279e-05
     787     0.06652   3.264e-05
     788      0.0662   3.248e-05
     789     0.06588   3.232e-05
     790     0.06556   3.217e-05
     791     0.06525   3.201e-05
     792     0.06493   3.186e-05
     793     0.06462   3.171e-05
     794     0.06431   3.155e-05
     795       0.064    3.14e-05
     796     0.06369   3.125e-05
     797     0.06338    3.11e-05
     798     0.06308   3.095e-05
     799     0.06278    3.08e-05
     800     0.06247   3.065e-05
     801     0.06217    3.05e-05
     802     0.06187   3.036e-05
     803     0.06157   3.021e-05
     804     0.06128   3.007e-05
     805     0.06098   2.992e-05
     806     0.06069   2.978e-05
     807      0.0604   2.963e-05
     808     0.06011   2.949e-05
     809     0.05982   2.935e-05
     810     0.05953   2.921e-05
     811     0.05924   2.907e-05
     812     0.05896   2.893e-05
     813     0.05867   2.879e-05
     814     0.05839   2.865e-05
     815     0.05811   2.851e-05
     816     0.05783   2.837e-05
     817     0.05755   2.824e-05
     818     0.05727    2.81e-05
     819       0.057   2.797e-05
     820     0.05672   2.783e-05
     821     0.05645    2.77e-05
     822     0.05618   2.756e-05
     823     0.05591   2.743e-05
     824     0.05564    2.73e-05
     825     0.05537   2.717e-05
     826      0.0551   2.704e-05
     827     0.05484   2.691e-05
     828     0.05458   2.678e-05
     829     0.05431   2.665e-05
     830     0.05405   2.652e-05
     831     0.05379   2.639e-05
     832     0.05353   2.626e-05
     833     0.05327   2.614e-05
     834     0.05302   2.601e-05
     835     0.05276   2.589e-05
     836     0.05251   2.576e-05
     837     0.05226   2.564e-05
     838       0.052   2.552e-05
     839     0.05175   2.539e-05
     840      0.0515   2.527e-05
     841     0.05126   2.515e-05
     842     0.05101   2.503e-05
     843     0.05076   2.491e-05
     844     0.05052   2.479e-05
     845     0.05028   2.467e-05
     846     0.05003   2.455e-05
     847     0.04979   2.443e-05
     848     0.04955   2.431e-05
     849     0.04931    2.42e-05
     850     0.04908   2.408e-05
     851     0.04884   2.396e-05
     852     0.04861   2.385e-05
     853     0.04837   2.373e-05
     854     0.04814   2.362e-05
     855     0.04791   2.351e-05
     856     0.04768   2.339e-05
     857     0.04745   2.328e-05
     858     0.04722   2.317e-05
     859     0.04699   2.306e-05
     860     0.04676   2.294e-05
     861     0.04654   2.283e-05
     862     0.04631   2.272e-05
     863     0.04609   2.261e-05
     864     0.04587   2.251e-05
     865     0.04565    2.24e-05
     866     0.04543   2.229e-05
     867     0.04521   2.218e-05
     868     0.04499   2.208e-05
     869     0.04478   2.197e-05
     870     0.04456   2.186e-05
     871     0.04435   2.176e-05
     872     0.04413   2.165e-05
     873     0.04392   2.155e-05
     874     0.04371   2.145e-05
     875      0.0435   2.134e-05
     876     0.04329   2.124e-05
     877     0.04308   2.114e-05
     878     0.04287   2.104e-05
     879     0.04267   2.093e-05
     880     0.04246   2.083e-05
     881     0.04226   2.073e-05
     882     0.04205   2.063e-05
     883     0.04185   2.053e-05
     884     0.04165   2.043e-05
     885     0.04145   2.034e-05
     886     0.04125   2.024e-05
     887     0.04105   2.014e-05
     888     0.04085   2.004e-05
     889     0.04066   1.995e-05
     890     0.04046   1.985e-05
     891     0.04027   1.976e-05
     892     0.04007   1.966e-05
     893     0.03988   1.957e-05
     894     0.03969   1.947e-05
     895      0.0395   1.938e-05
     896      0.0393   1.928e-05
     897     0.03912   1.919e-05
     898     0.03893    1.91e-05
     899     0.03874   1.901e-05
     900     0.03855   1.892e-05
     901     0.03837   1.882e-05
     902     0.03818   1.873e-05
     903       0.038   1.864e-05
     904     0.03782   1.855e-05
     905     0.03763   1.846e-05
     906     0.03745   1.838e-05
     907     0.03727   1.829e-05
     908     0.03709    1.82e-05
     909     0.03691   1.811e-05
     910     0.03674   1.802e-05
     911     0.03656   1.794e-05
     912     0.03638   1.785e-05
     913     0.03621   1.777e-05
     914     0.03603   1.768e-05
